data,ticker,nome,setor,industria,preco_atual,market_cap,pl,pl_forward,pvp,psr,ev_ebitda,roe,roa,margem_liquida,margem_bruta,margem_ebitda,dividend_yield,payout_ratio,divida_patrimonio,lpa,lpa_forward,beta,volume_medio
2026-08-24,ABCB4,ABC BRASIL  PN      N2,Financial Services,Banks - Regional,22.72,5854939136.0,4.0789943,4.7514977,0.8073916,2.3489144,,0.14905,0.01544,0.40916002,0.0,0.0,10.27,0.48479998,,5.57,4.78165,0.191,613946
2026-08-24,ABEV3,AMBEV S/A   ON,Consumer Defensive,Beverages - Brewers,15.25,235154964480.0,14.805825,13.736759,2.6684163,2.6640933,8.1,0.184,0.10296,0.18406,0.51903,0.30346,4.87,0.7648,3.317,1.03,1.11016,0.262,27466189
2026-08-24,ALOS3,ALLOS       ON      NM,Real Estate,Real Estate Services,26.01,13008670720.0,13.689474,13.390858,1.0120622,4.370368,9.596,0.07586,0.03656,0.31397,0.73697996,0.71266,13.43,1.5509,56.087,1.9,1.94237,0.123,4782490
2026-08-24,ALPA4,ALPARGATAS  PN      N1,Consumer Cyclical,Footwear & Accessories,12.7,8625871872.0,12.828282,10.339998,2.3831863,1.7870628,11.343,0.18084998,0.07609,0.14524001,0.52955,0.17177,5.04,0.5444,38.72,0.99,1.22824,0.545,1541273
2026-08-24,ALUP11,ALUPAR      UNT ED  N2,Utilities,Utilities - Renewable,31.96,15201965056.0,7.6587586,11.524343,1.1495988,3.0343657,7.9,0.15841,0.05696,0.27677,0.65850997,0.64697,2.33,,111.329,4.173,2.77326,0.141,880614
2026-08-24,ANIM3,ANIMA       ON      NM,Consumer Defensive,Education & Training Services,2.51,948429056.0,6.121951,3.3433678,0.4122865,0.22860944,4.858,0.09607001,0.065349996,0.03708,0.63391,0.30563998,3.28,0.18969999,161.397,0.41,0.75074,,9610831
2026-08-24,ARML3,ARMAC       ON      NM,Industrials,Rental & Leasing Services,3.45,1193817088.0,20.294117,3.108108,0.8778626,0.59892994,5.104,0.06273,0.05254,0.031089999,0.31827,0.36566,18.72,3.14,212.081,0.17,1.11,0.096,947121
2026-08-24,ASAI3,ASSAI       ON      NM,Consumer Defensive,Grocery Stores,8.31,11122577408.0,22.459461,8.843625,1.7527947,0.143395,5.576,0.16157,0.06763,0.01244,0.18195999,0.078049995,1.42,0.32099998,425.355,0.37,0.93966,0.237,10738504
2026-08-24,AUAU3,PETZCOBASI  ON      NM,Consumer Cyclical,Personal Services,3.23,2780364032.0,,9.526057,0.8890724,0.5541868,6.996,0.09104,0.05605,0.03836,0.46493,0.12603,0.94,,70.19,,0.33907,,3061290
2026-08-24,AURE3,AUREN       ON      NM,Utilities,Utilities - Renewable,10.25,10707509248.0,,-72.20344,0.9304648,0.7949652,10.36,-0.076799996,0.020380002,-0.08088,0.16885,0.22895001,0.41,0.0,185.482,-1.04,-0.14196,0.2,2833615
