data,ticker,preco_atual,target_low,target_mean,target_median,target_high,upside_pct,recommendation_key,recommendation_mean,num_analistas
2026-08-24,ABCB4,22.72,21.8361,27.75957,28.0,32.0,0.2218120598591551,none,,9.0
2026-08-24,ABEV3,15.25,13.0,16.34118,16.5,20.0,0.07155278688524591,hold,3.33333,17.0
2026-08-24,ALOS3,26.01,28.0,34.88462,35.0,39.0,0.34120030757400976,buy,1.53846,13.0
2026-08-24,ALPA4,12.7,12.0,14.4375,13.75,20.0,0.13681102362204722,buy,2.5,8.0
2026-08-24,ALUP11,31.96,35.7,41.88455,41.0,47.0,0.31053035043804744,buy,1.63636,11.0
2026-08-24,ANIM3,2.51,1.8,3.6,3.1,6.5,0.4342629482071714,hold,3.18182,10.0
2026-08-24,ARML3,3.45,2.5,6.67778,6.0,14.0,0.9355884057971013,buy,2.0,9.0
2026-08-24,ASAI3,8.31,9.0,10.87143,11.0,13.0,0.3082346570397112,buy,1.85714,14.0
2026-08-24,AUAU3,3.23,3.75,4.4,4.25,5.2,0.36222910216718285,hold,3.0,7.0
2026-08-24,AURE3,10.25,11.5,14.64769,14.45,19.0,0.42904292682926837,hold,3.0,13.0
2026-08-24,AXIA3,52.53,63.3,70.075,71.0,79.0,0.33399961926518174,strong_buy,1.28571,14.0
2026-08-24,AZZA3,14.54,17.0,26.80769,25.0,40.0,0.8437200825309492,buy,2.21429,13.0
2026-08-24,B3SA3,15.45,15.0,19.78571,20.0,23.0,0.2806284789644016,buy,1.85714,14.0
2026-08-24,BBAS3,18.6,17.5,24.74615,23.0,39.0,0.33043817204301074,hold,2.84615,13.0
2026-08-24,BBDC3,14.36,,,,,,none,,
2026-08-24,BBDC4,16.27,20.0,22.61546,22.0,26.0,0.39000983405039946,buy,1.78571,13.0
2026-08-24,BBSE3,38.1,31.0,37.33333,37.0,46.0,-0.020122572178477793,none,,12.0
2026-08-24,BEEF3,3.93,4.0,5.48077,5.5,8.0,0.3945979643765902,hold,2.69231,13.0
2026-08-24,BLAU3,8.99,9.0,11.675,11.25,17.0,0.29866518353726357,hold,2.75,12.0
2026-08-24,BMOB3,23.14,24.0,30.95,32.4,35.0,0.33751080380293863,none,,4.0
2026-08-24,BPAC11,52.6,55.0,66.23077,67.0,71.0,0.25914011406844106,buy,1.53846,13.0
2026-08-24,BRAP4,21.49,22.0,26.35,24.5,31.0,0.2261516984644023,hold,2.6,5.0
2026-08-24,BRAV3,18.15,17.0,22.31818,23.0,25.0,0.22965179063360908,buy,1.90909,11.0
2026-08-24,BRBI11,12.4,14.1,18.82,20.0,22.0,0.517741935483871,strong_buy,1.4,5.0
2026-08-24,BRKM5,4.73,4.0,10.08182,9.0,18.0,1.131463002114165,hold,3.27273,11.0
2026-08-24,BRSR6,13.53,11.0,14.975,15.0,17.3,0.10679970436068009,underperform,3.625,8.0
2026-08-24,CAML3,4.76,5.0,7.5,8.0,10.0,0.5756302521008405,none,,7.0
2026-08-24,CASH3,5.47,6.2,6.65,6.5,7.25,0.21572212065813545,none,,3.0
2026-08-24,CBAV3,11.14,6.5,8.9,9.5,10.5,-0.20107719928186718,buy,1.83333,5.0
2026-08-24,CEAB3,7.5,15.0,17.45,17.5,22.4,1.3266666666666667,strong_buy,1.33333,12.0
2026-08-24,CMIG4,10.21,9.6,12.36929,12.55,15.0,0.2114877571008813,hold,3.26667,14.0
2026-08-24,CMIN3,5.97,3.1,5.275,5.5,7.0,-0.11641541038525949,underperform,3.76923,12.0
2026-08-24,COGN3,2.14,2.5,3.79167,3.85,5.0,0.771808411214953,buy,1.69231,12.0
2026-08-24,CPFE3,42.85,40.0,49.90846,50.0,58.7,0.16472485414235694,hold,3.46154,13.0
2026-08-24,CPLE3,14.35,15.0,18.13786,18.5,22.0,0.2639623693379791,strong_buy,1.35714,14.0
2026-08-24,CSAN3,3.5,4.0,5.46364,4.6,9.0,0.56104,buy,2.4,11.0
2026-08-24,CSMG3,54.56,32.3,73.13583,76.5,88.3,0.3404660923753664,buy,1.58333,12.0
2026-08-24,CSNA3,5.16,4.3,7.49231,7.5,11.0,0.45199806201550374,underperform,3.53846,13.0
2026-08-24,CURY3,30.31,42.0,45.125,44.0,52.0,0.4887825800065986,strong_buy,1.25,12.0
2026-08-24,CVCB3,1.62,2.4,2.7,2.7,3.0,0.6666666666666667,hold,3.0,2.0
2026-08-24,CXSE3,18.7,16.0,20.11429,20.25,25.0,0.07563048128342253,hold,2.57143,14.0
